Splash,Dates,Links,Addresses,Done?,Specifics,Meeting Agenda
First Meeting,1/13/26,,,FALSE,,"Send Teacher Interest Emails
Teacher Registration opens
Plan Merch Designs"
Send Teacher Interest Emails,1/13/26,,,FALSE,,
Teacher Registration opens,1/13/26,,,FALSE,,
First Group Admin meeting,1/13/26,,,FALSE,,
Send Emails to Schools (recurring?),1/13/26,,,FALSE,,
Plan T-Shirt Design,1/13/26,,,FALSE,,
Second Meeting,1/20/26,,,FALSE,,"Update Qualtrics 
Set up Student Custom Form
Send Teacher Registration Reminder Emails
Send new changes to Dmitrios"
Update Qualtrics,1/20/26,,,FALSE,,
Set up Student Custom Form,1/20/26,,,FALSE,,
Send Teacher Registration Reminder Emails,1/20/26,,,FALSE,,
Teacher Registration closes (fake),1/24/26,,,FALSE,,
Teacher reg closes (real),1/26/26,,,FALSE,Review courses,
Update Website,7/31/25,,,FALSE,Edmundo,
Send new changes to Dmitrios,1/26/26,,,FALSE,,
Third Meeting,1/27/26,,,FALSE,,"Student Registration Opens (send out emails)
Review Courses
Create teacher training slides
^figure out zoom times and have people register"
Student Registration Opens,1/27/26,,,FALSE,Send out emails,
Send Volunteer Recruitment Email,,,,FALSE,,
Review Courses,1/27/26,,,FALSE,,
"Create teacher training slides, figure out zoom times and have people register",1/27/26,,,FALSE,,
Fourth Meeting,2/3/26,,,,,"Give Course Feedback 
Film Videos (teacher registration, What is Splash?)"
Give Course Feedback,2/3/26,,,FALSE,,
Review Past Phil,2/3/26,,,FALSE,,
"Film Videos (Teacher Registration, What is Splash?)",2/3/26,,,FALSE,,
Bond and Have Fun,2/3/26,,,FALSE,,
Fifth Meeting,2/10/26,,,FALSE,,"Remind Teachers to Revise Courses
Send Volunteer Emails
Play Game :)"
Remind Teachers to Revise Courses,2/10/26,,,FALSE,,
Remind Teachers to Send Forms and Course Materials,2/10/26,,,FALSE,,
Get volunteers (7-8 people),,,,FALSE,Send emails,
,,,,FALSE,,
Teacher Course Revision Deadline (soft),2/15/26,,,FALSE,,
,,,,FALSE,,
"Teacher Forms And Course materials (Health and Safety, Mandated Reporter, Code of Conduct) Deadline",2/16/26,,,FALSE,Double check who has sent them in and send email reminders,
Sixth Meeting,2/17/26,,,FALSE,,"Order Pizza?
Conduct Teacher Training
Send Student Reg Reminder Email
Volunteer Reimnder Email?"
Order Pizza,Presidents,,,FALSE,Consider dietary restrictions,
Teacher orientation 1,2/17/26,,,FALSE,"Create teacher training slides, figure out zoom times and have people register",
Send Student Registration Reminder,2/17/26,,,FALSE,,
Send volunteer Reminder Email,2/17/26,,,FALSE,Invite to Seventh Meeting?,
Send Courses to Dimitrios,2/17/26,,,FALSE,,
Order Shirts Deadline,Presidents,,,FALSE,Need design,
,,,,FALSE,,
Course Materials + Forms hard deadline,2/20/26,,,FALSE,,
,,,,FALSE,,
Teacher orientation 2,2/22/26,,,FALSE,,
Seventh Meeting (with volunteers),2/24/2026,,,FALSE,,"Delegate Roles for Splash Day
Send Final Student Registration Reminder
Send program/logistics reminder email "
Delegate roles to admin,2/24/26,,,FALSE,"Walking, teacher check-in, student check-in",
Send Program/logistics Reminder Email to Parents and Students,2/24/26,,,,"Send Reminders (Payment, forms, time, location, pick up/drop off)",
Send Final Student Registration Reminder,2/24/26,,,FALSE,,
Invite Volunteers to Friday Prep,2/24/26,,,FALSE,,
,,,,FALSE,,
Student Registration Closes,2/25/26,,,FALSE,Send out reminders in email,
Financial Aid deadline,2/25/26,,,FALSE,Approve applications,
Payment and forms due,2/25/26,,,FALSE,Send out reminders in email,
,,,,,,
Final reminder emails to students AND teachers,2/27/26,,,,,
Get Salad and Print Materials,2/27/26,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,FALSE,,
,,,,,,
,,,,,,
Τeacher Class Material Send-in for Program Day 1,,,,FALSE,,
Program Day ,2/28/26,,,FALSE,,
Reimbursements,,,,,,
