Category,Expense,Subcategory,Amount,Budgeting notes
EXPENSES,,,,
Organizational,,,,
,Capital,Printer,$200.00,Need new printer as one of ours broke -- a quality printer on Amazon is about $200
,Sending admins to/from other programs,,$300.00,"Send 4 admins to/from Boston Schools ($64 round trip Amtrak between NHV and Boston, plus $44 to cover miscellaneous Uber costs)"
Total,,,$500.00,
,,,,
Admin team,,,,
,Teacher recruitment,General,$150.00,For advertising materials (e.g. posters) and food at teacher trainings
,,Information Session,$100.00,For boxes of donuts or other food for the first information session for new members. 
,Post-program/end-of-year admin dinner,,$925.00,Main celebratory dinner marking both end of program and end of year. 19 members + 6 elders at $37 each
,Misc. social events,,$200.00,"2 boba/snack events after major milestones (e.g., after teacher reg closes): ~$10 per person * 10 people = $100 per event (for admin retention)"
,Storage Costs,,$723.36,120.56 per month * 6 months
,Initiation + Retreat,Food and Drinks,$500.00,"Based on Spring 2025 retreat, with higher budget for higher number of expected attendees."
,,Games,$50.00,Board games
,,Lodging,"$1,100.00",Killam's point cost for Spring 2025
,,Transportation,$280.00,"3-4 Ubers, each $35 there and back."
,,,,
,,Total,"$4,028.36",
,,,,
Fall Splash,,,,
,Shirts,,"$2,865.75","Estimated for 200 admins/volunteers/teachers ($5.95 per shirt, good for the next two years), 300 students ($5.55 per shirt). We are estimating less students t-shirts because we usually only get 200-250 purchases per program."
,T-shirt Designer,,$35.00,An estimate based on previous years.
,Room bookings,,$0.00,Has been free so far
,Printing for teachers and students,,$45.00,Posters and paper for day of splash and any extra teaching materials
,Coffee and snacks for admin from Stop and Shop,,$85.00,From last year's numbers
,Dinner / snacks during setup,,$170.00,Based on last program's numbers
,Admin + volunteer breakfast,,$120.00,Based on last program's numbers
,Student lunches,,"$1,420.00","Based on last program's actuals and scaled up from 388 to 450 ($1,270) and added potential delivery fee ($150 including tip); Papa Johns 50% off: YALE50"
,Bulk program items ,,$120.00,"Wholesale store (plates, cups, napkins)"
,Teacher reimbursements,,$280.00,Based on last program
,Deprecation,,$100.00,For anything that breaks; this is roughly the amount we spent on this last Spring
,Volunteer incentive,,$50.00,"For day-of-program volunteers, $10 gift cards for 5 volunteers"
,Transportation,,$211.56,"U-haul back and forth twice, $85.78 each plus 2 uber rides ($20 each)"
,,Total,"$5,502.31",
,,,,
Fall Sprout,,,,
,Shirts,,$690.00,120 students at $5.75 a shirt
,T-shirt Designer,,$35.00,An estimate based on previous years.
,Room bookings,,$0.00,Has been free so far
,Printing for teachers and students,,$45.00,"Posters, paper. for day of Sprout and any extra teaching materials"
,Coffee and snacks for admin from Stop and Shop,,$85.00,From last year's numbers
,Dinner / snacks during setup,,$170.00,Based on last program's numbers
,Admin+ volunteer breakfast,,$120.00,Based on last program's numbers
,Student lunches,,"$1,000.00",Based on Fall and Spring Sprout Numbers. (Included is allergies lunch and potential delivery costs)
,Bulk program items ,,$80.00,"Wholesale store (plates, cups, napkins), with less costs than Splash due to existing items"
,Teacher reimbursements,,$170.00,Based on Spring Sprout Numbers (159.13)
,Volunteer incentive,,$50.00,"For day-of-program volunteers, $10 gift cards for 5 volunteers"
,Transportation,,$211.56,"U-haul back and forth twice, $85.78 each plus 2 uber rides ($20 each)"
,,Total,"$2,656.56",
,,,,
,Operating Budget,,"$12,687.23",
,LU donation,,"$1,268.72",10% of operating budget
,,Fall 2025 total expenses,"$13,955.95",
REVENUE,,,,
,Splash,,"$9,849.55",Scaled Spring Semester revenue for a larger Splash with 450 students
,Sprout,,"$5,927.37",Actual numbers from Spring 2025 and scaled up from 67 attended to 150 attended.
,Grants,,$0.00,
,Bank Interest ,,$0.00,Moving half of account total into a HYSA this summer (~$20k)
,,,,
,,Fall 2025 total expected revenue,"$15,776.92",
,,,,
,,Fall 2025 expected net,"$1,820.97",
,,,,
,,Before-semester bank balance**,"$43,040.79",
,,Expected after-semester bank balance,"$44,861.76",
