Category,Expense,Subcategory,Amount,Budgeting notes
EXPENSES,,,,
Organizational,,,,
,Capital,,$0.00,No planned expenses for Spring as of now
,Fees,Charity form,$50.00,Need to renew non-profit charity status with CT government every year before May 31st.
,,PO box,$150.00,Need to renew PO box every June
,SplashCon,,"$3,500.00","Based on worst case 5 admins going to San Francisco, at 700 round trip"
,Sending admins to/from other programs,,$170.00,"Send 2 admins to/from Boston Schools ($64 round trip Amtrak between NHV and Boston, plus Uber costs)"
Total,,,"$3,870.00",
Admin Team,,,,
,Storage Costs,,$723.36,120.56 per month * 6 months
,Misc. social events,,$200.00,"2 boba/snack events after major milestones (e.g., after teacher reg closes): ~$10 per person * 10 people = $100 per event (for admin retention)"
,Post-program/end-of-year admin dinner,,$925.00,Main celebratory dinner marking both end of program and end of year. 19 members + 6 elders at $37 each
,,Total,"$1,848.36",
,,,,
Spring Splash,,,,
,Shirts,,"$1,665.00",300 purchases * $5.55 per shirt. No admin or teacher shirts needed due to fall semester purchase
,T-shirt Designer,,$35.00,An estimate based on previous years.
,Room bookings,,$0.00,Has been free so far
,Printing for teachers and students,,$45.00,Posters and paper for day of splash and any extra teaching materials
,Coffee and snacks for admin from Stop and Shop,,$85.00,From last year's numbers
,Dinner / snacks during setup,,$170.00,Based on last program's numbers
,Admin + volunteer breakfast,,$120.00,Based on last program's numbers
,Student lunches,,"$1,270.00",Based on last program
,Bulk program items ,,$120.00,"Wholesale store (plates, cups, napkins)"
,Teacher reimbursements,,$280.00,Based on last program.
,Volunteer incentive,,$50.00,"For day-of-program volunteers, $10 gift cards for 5 volunteers"
,Deprecation,,$100.00,For anything that breaks; this is roughly the amount we spent on this last Spring
,Transportation,,$211.56,"U-haul back and forth twice, $85.78 each plus 2 uber rides ($20 each)"
,,Total,"$3,940.00",
,,,,
Spring Sprout,,,,
,Shirts,,$690.00,120 students at $5.75 a shirt
,T-shirt Designer,,$35.00,An estimate based on previous years.
,Room bookings,,$0.00,Has been free so far
,Printing for teachers and students,,$45.00,"Posters, paper. for day of Sprout and any extra teaching materials"
,Coffee and snacks for admin from Stop and Shop,,$85.00,From last year's numbers
,Dinner / snacks during setup,,$170.00,Based on last program's numbers
,Admin + volunteer breakfast,,$120.00,Based on last program's numbers
,Student lunches,,"$1,000.00",Based on Fall and Spring Sprout Numbers. (Included is allergies lunch and potential delivery costs)
,Teacher reimbursements,,$170.00,Based on Spring Sprout Numbers (159.13)
,Volunteer incentive,,$50.00,"For day-of-program volunteers, $10 gift cards for 5 volunteers"
,Transportation,,$211.56,"U-haul back and forth twice, $85.78 each plus 2 uber rides ($20 each)"
,,Total,"$2,576.56",
,,,,
,Operating Budget,,"$12,234.92",
,LU Budget,,"$1,223.49",10% of operating budget
,,Spring 2026 total expenses,"$13,458.41",
,,,,
REVENUE,,,,
,Splash,,"$9,849.55",Scaled Spring Semester revenue for a larger Splash with 450 students
,Sprout,,"$5,927.37",Actual numbers from Spring 2025 and scaled up from 67 attended to 150 attended.
,Grants,,$0.00,
,Sponsorship,,$0.00,
,Bank Interest ,,$0.00,
,,Spring 2026 total revenue,"$15,776.92",
,,,,
,,Spring 2026 expected net,"$2,318.51",
,,,,
,,Before-semester bank balance**,"$44,861.76",
,,Expected after-semester bank balance,"$47,180.27",
